gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,passed_course,assess_score_1,assess_score_2,assess_score_3,assess_score_4,assess_score_5
1,2,9,2,0,240,0,1,78,85,80,85,82
0,2,2,1,0,60,0,1,70,68,70,64,60
0,3,5,1,0,60,0,1,72,71,74,88,75
0,1,5,0,0,60,0,1,69,30,63,35,75
1,2,3,0,0,60,0,1,70,65,62,75,68
0,3,9,0,0,120,0,1,72,72,72,73,73
1,1,7,1,0,60,0,1,68,76,78,80,68
0,2,5,0,0,60,0,1,73,85,75,70,77
0,3,6,1,0,60,0,1,59,60,60,61,38
1,3,3,1,0,60,0,1,67,66,67,65,65
1,2,0,0,0,60,0,1,75,74,75,73,57
1,1,7,1,0,60,0,0,74,67,57,65,55
1,1,7,1,0,60,0,1,62,59,59,61,62
1,3,2,0,0,60,0,1,63,68,71,74,66
1,1,8,1,0,60,0,1,84,64,75,66,74
1,1,6,1,0,60,0,1,81,77,77,75,78
1,2,6,1,0,60,0,1,74,79,77,80,54
1,2,0,0,0,60,0,1,76,66,60,60,50
1,3,7,1,0,60,0,1,72,77,72,78,72
0,1,9,1,0,60,1,0,57,47,56,46,43
0,3,5,1,0,60,0,1,65,76,74,71,82
0,2,8,1,0,60,0,1,61,64,65,75,79
1,1,6,0,0,120,0,0,69,32,82,72,68
0,3,8,0,0,150,0,1,54,48,45,53,50
0,3,2,1,0,60,0,1,82,79,79,81,78
1,3,7,0,0,60,0,1,82,58,78,73,68
1,2,9,2,0,60,0,1,83,79,77,83,80
1,2,7,1,0,60,0,1,76,73,78,82,82
0,3,8,0,0,180,0,0,51,28,42,32,35
1,3,3,0,0,120,0,1,61,59,44,59,44
1,2,8,1,0,170,0,1,65,62,65,53,54
1,3,5,1,0,60,0,1,88,90,88,90,90
1,3,7,1,0,120,0,0,79,73,63,72,67
1,3,9,0,0,120,0,1,76,85,83,83,70
1,1,5,1,0,60,0,1,69,58,59,53,33
1,3,2,0,0,60,0,1,64,68,70,73,55
1,3,5,0,0,60,0,1,81,76,75,82,76
1,3,9,0,0,240,0,0,62,30,69,60,61
1,4,9,0,0,60,0,1,85,84,83,78,60
1,3,9,0,0,120,0,1,74,54,56,54,54
0,2,6,1,0,60,0,0,51,55,62,64,61
1,1,2,0,0,90,0,1,77,79,74,80,82
1,1,2,1,0,60,0,1,84,75,84,60,54
1,2,1,0,0,120,0,1,71,75,79,79,80
0,1,3,0,0,60,0,1,58,57,64,54,61
0,3,3,1,0,60,0,1,81,80,75,72,75
1,3,1,1,0,90,0,0,64,78,83,75,73
1,1,4,0,0,60,0,1,79,82,73,79,83
1,1,7,1,0,60,0,0,63,57,65,40,52
1,3,9,1,0,60,0,1,55,73,77,70,80
1,3,9,0,0,120,0,1,69,70,60,70,70
1,2,9,2,0,60,0,1,72,82,78,82,77
1,3,9,0,0,60,0,1,61,53,54,53,43
1,3,4,1,0,240,0,0,38,52,52,54,55
1,4,9,2,0,60,0,1,91,95,94,88,66
1,3,3,1,0,60,0,1,82,80,79,76,77
0,3,1,0,0,60,0,1,72,73,74,39,55
1,3,6,2,0,120,0,1,55,46,61,67,67
1,4,9,2,0,60,0,1,88,90,88,85,88
0,2,8,0,0,120,0,1,70,63,62,68,70
1,2,9,2,0,60,0,1,82,80,80,80,80
1,2,4,1,0,60,0,1,85,69,80,85,83
0,3,1,1,0,60,0,1,58,35,66,72,57
1,3,9,0,0,120,0,1,38,58,64,74,72
1,3,2,0,0,120,0,1,72,70,73,74,40
1,3,8,0,0,60,0,1,68,44,52,37,48
1,1,5,2,0,60,0,1,68,74,79,85,80
1,2,0,0,0,60,0,1,62,57,53,57,73
1,3,1,0,0,60,0,0,61,53,47,42,43
1,3,6,0,0,180,1,1,70,75,80,80,85
1,3,5,0,0,120,0,1,85,75,82,85,85
1,1,1,1,0,60,0,1,68,63,77,70,72
1,2,4,0,0,60,0,1,88,70,82,54,90
1,1,0,0,0,180,0,1,58,59,73,74,68
1,3,8,0,0,60,0,1,73,58,68,75,65
1,3,9,0,0,120,0,1,74,69,85,69,81
0,1,8,1,0,60,0,1,65,54,70,66,64
1,3,0,0,0,90,0,0,75,80,54,54,77
0,3,5,1,0,120,0,1,65,63,75,67,72
1,3,6,0,0,60,0,1,68,74,75,80,74
1,1,5,1,0,60,0,1,80,74,80,68,61
1,1,2,1,0,120,0,1,52,45,52,40,30
1,3,2,0,0,120,0,1,85,72,71,72,86
1,3,5,0,0,120,0,1,81,72,70,82,77
1,3,2,0,0,120,0,1,74,64,70,77,68
0,3,2,0,0,60,0,1,74,68,69,74,68
1,2,8,0,0,120,0,1,73,59,68,76,57
1,2,9,0,0,120,0,1,59,78,83,75,67
1,2,4,0,0,120,0,1,82,80,80,81,82
1,2,6,0,0,60,0,1,77,41,76,79,87
1,3,9,0,0,120,0,1,85,81,81,86,81
1,3,6,2,0,120,0,1,81,83,82,78,80
1,1,7,2,0,60,0,1,83,61,73,78,65
1,3,6,2,0,60,0,1,80,80,81,82,83
0,3,9,1,0,60,0,1,64,73,85,80,80
0,3,5,1,0,60,0,1,63,63,63,72,48
1,2,4,1,0,60,0,1,78,78,75,77,78
0,2,9,1,0,60,0,1,76,68,73,55,68
1,2,8,2,0,60,0,1,90,85,80,82,76
0,2,3,1,0,60,0,1,77,68,76,80,75
0,1,4,1,0,60,1,0,61,54,64,62,67
1,3,7,1,0,60,0,1,67,64,63,64,51
1,1,9,1,0,60,0,1,84,83,81,83,67
1,3,6,1,0,60,0,1,82,85,86,85,85
1,3,3,1,0,60,0,1,83,86,85,85,86
1,3,6,1,0,60,0,1,83,87,81,83,85
1,2,7,2,0,60,0,1,57,63,67,74,70
1,3,3,1,0,60,0,1,72,74,80,85,76
1,1,4,1,0,60,0,1,83,60,75,73,64
0,3,8,0,0,60,0,1,76,67,70,70,69
1,3,9,1,0,60,0,1,82,50,85,84,64
1,1,0,1,0,60,0,0,78,90,90,80,80
1,1,3,1,0,60,0,1,75,76,78,81,82
0,3,9,1,0,60,0,1,88,64,72,60,64
1,3,5,1,0,120,0,0,65,62,71,70,66
0,1,7,1,0,60,0,1,50,56,52,52,53
0,3,3,1,0,60,0,1,71,67,72,70,65
0,3,7,1,0,60,0,1,65,63,64,70,68
0,3,5,1,0,60,0,1,64,61,66,80,65
0,2,3,1,0,60,0,1,75,75,76,76,76
1,3,2,0,0,60,0,1,73,57,81,85,60
1,3,9,0,0,150,0,1,72,59,52,58,65
0,1,4,0,0,60,0,1,76,74,84,85,81
0,3,7,0,0,180,0,0,68,69,68,62,79
0,2,9,0,0,60,1,1,90,85,85,85,72
0,3,8,0,0,120,0,1,63,85,80,86,64
0,1,7,1,0,60,0,1,50,50,40,57,56
0,3,3,0,0,60,0,1,67,77,69,87,72
1,2,9,2,0,60,0,1,85,86,77,78,68
1,1,8,1,0,60,0,1,82,72,83,70,72
1,1,9,0,0,120,0,1,63,50,52,48,65
0,2,9,0,0,120,0,1,70,67,76,77,78
0,1,4,0,0,240,0,1,74,76,77,78,81
1,3,9,0,0,60,0,1,74,75,80,79,75
0,2,6,1,0,60,0,1,71,80,75,85,79
0,3,8,0,0,60,0,1,69,72,64,71,40
0,2,9,1,0,60,0,1,94,75,70,84,80
1,2,8,2,0,60,0,1,75,72,88,92,79
1,1,3,0,0,60,0,1,54,64,85,80,73
1,3,7,0,0,60,0,1,70,62,60,65,70
0,3,9,1,0,60,0,1,86,57,60,70,86
1,3,9,0,0,120,0,0,66,77,67,66,80
0,1,8,1,0,60,0,1,75,65,84,77,67
0,3,8,1,0,60,0,1,66,66,78,73,80
0,1,1,1,0,60,0,1,68,70,85,84,84
1,1,3,1,0,120,0,1,66,59,58,70,75
1,1,5,1,0,60,0,1,78,81,79,80,78
1,1,6,1,0,60,0,1,75,82,85,87,88
1,3,0,1,0,60,0,1,83,84,85,85,84
1,2,9,1,0,60,0,1,48,58,64,68,78
1,3,9,0,0,60,0,1,76,76,74,76,78
1,2,2,2,0,60,0,1,59,69,78,69,69
0,3,8,0,0,60,0,1,83,80,66,62,66
1,2,8,2,0,60,0,1,60,48,63,61,77
0,3,6,1,0,60,0,1,87,83,85,88,88
0,3,4,0,0,60,0,1,47,52,57,64,54
1,2,3,1,0,60,0,1,56,63,68,64,73
0,3,6,0,0,60,0,1,75,64,70,68,78
1,2,9,2,0,60,0,1,87,80,61,76,76
1,3,8,1,0,60,0,1,50,47,51,52,57
0,2,4,0,0,60,0,1,74,76,78,88,85
1,3,4,0,0,120,0,1,76,77,80,88,88
1,1,8,1,0,60,0,1,76,67,70,69,74
1,2,8,2,0,60,0,1,62,57,70,67,53
0,2,9,0,0,60,0,1,69,68,72,67,63
0,3,4,1,1,60,0,1,73,65,88,68,86
1,2,7,1,0,60,0,1,67,66,67,62,62
0,3,6,1,0,60,0,1,78,87,79,78,70
0,3,7,1,0,60,0,1,63,52,47,71,59
1,1,0,0,0,60,0,1,78,85,80,73,75
1,1,9,1,0,60,0,1,86,78,83,85,88
0,3,2,1,0,60,0,1,70,62,58,64,78
1,3,6,0,0,60,0,1,67,64,73,66,72
0,3,4,0,0,60,1,1,59,65,64,62,62
1,3,1,1,0,60,0,1,55,62,53,68,64
0,1,3,1,0,60,1,1,72,76,74,77,78
0,3,7,1,0,60,0,1,56,68,66,68,67
1,3,5,1,0,60,0,1,65,74,69,71,69
1,1,9,0,0,60,0,1,62,72,60,64,70
1,1,1,1,0,60,0,0,75,52,60,57,54
1,3,3,1,0,60,0,1,88,66,77,80,68
1,2,3,1,0,60,0,1,82,58,66,68,58
1,1,5,1,0,60,0,1,78,60,60,68,65
0,1,3,1,0,60,0,1,58,57,63,62,58
1,3,4,0,0,60,0,1,42,45,50,50,45
1,3,1,0,0,60,0,1,70,71,73,80,68
0,3,4,0,0,60,0,1,90,80,78,87,90
1,3,2,1,0,60,0,1,86,83,78,85,82
1,3,1,1,0,60,0,1,74,87,80,83,79
1,1,4,0,0,60,0,1,69,72,74,74,62
1,1,9,1,0,60,0,1,81,87,77,80,73
1,1,7,1,0,60,0,1,81,78,82,84,84
0,2,5,0,0,60,0,1,69,74,74,73,75
0,3,4,1,0,90,0,1,70,76,68,77,73
1,3,7,1,0,60,0,1,73,78,78,70,68
1,2,9,1,0,60,0,1,78,78,73,73,74
0,2,3,1,0,60,0,1,67,74,68,64,57
0,3,5,1,0,60,0,1,73,44,64,59,60
1,3,7,1,0,60,0,0,75,81,77,77,78
1,3,3,1,0,60,0,1,65,66,86,87,82
1,3,7,1,0,120,0,0,68,82,82,68,64
1,3,2,0,0,60,0,1,51,56,62,37,58
1,3,7,0,0,60,0,1,82,88,84,85,87
0,2,7,0,1,60,0,1,67,68,71,80,88
0,3,5,0,0,60,0,1,76,72,79,80,71
0,3,9,1,0,60,0,1,68,67,58,71,66
0,3,4,1,0,60,0,1,66,72,90,75,77
1,3,5,1,0,60,0,1,73,74,59,59,64
1,3,9,1,0,60,0,1,81,76,88,81,86
0,3,3,0,0,60,1,0,58,58,45,50,38
1,1,5,0,0,60,0,1,62,65,59,58,54
1,2,6,0,0,60,0,0,41,30,38,45,45
1,2,9,0,0,60,0,1,78,72,75,74,70
1,3,8,1,0,60,0,1,79,77,77,80,70
0,3,1,0,0,60,0,1,60,63,67,54,79
0,2,7,1,0,60,0,1,51,55,64,62,66
1,3,6,0,0,60,0,0,82,38,86,80,82
0,3,4,0,0,60,0,1,70,68,62,64,64
1,3,4,0,0,120,0,1,72,80,78,80,68
1,3,5,0,0,120,1,1,83,85,80,80,87
0,3,2,0,0,60,0,0,74,78,82,78,82
1,1,5,0,0,60,0,1,81,70,67,80,85
1,3,7,0,0,60,0,1,78,61,86,88,80
1,2,9,2,0,60,0,1,84,79,78,75,85
1,2,9,1,0,60,0,1,85,85,80,82,79
0,1,4,0,0,180,1,0,19,50,38,54,40
0,3,7,0,0,120,0,1,69,73,68,66,70
0,2,7,0,0,60,0,1,85,80,87,74,73
1,1,6,1,0,60,0,1,49,57,68,65,57
0,3,6,0,0,60,1,1,70,60,80,78,78
0,1,8,1,0,60,0,1,68,57,71,71,71
0,3,9,0,0,60,0,1,67,72,83,68,80
1,2,7,2,0,60,0,1,84,77,86,85,86
1,2,8,1,0,60,0,1,68,72,82,80,85
1,3,3,0,0,120,0,1,62,65,63,64,65
0,3,0,1,0,60,0,1,68,63,62,68,71
0,3,5,0,0,60,0,1,75,90,74,81,69
1,2,1,0,0,120,0,1,69,54,73,54,47
1,3,9,0,0,150,0,0,60,50,55,55,56
0,2,7,0,0,120,0,1,54,36,72,59,44
1,2,2,0,0,60,0,1,56,64,59,77,73
1,3,9,0,0,120,0,0,61,68,55,63,59
1,3,0,0,0,120,0,1,82,85,87,79,86
0,3,9,0,0,120,0,1,74,78,73,62,37
1,3,8,1,0,60,0,1,53,62,40,59,56
1,3,7,0,0,120,0,1,62,74,85,84,72
0,2,9,0,0,60,0,1,68,68,85,77,71
0,2,6,1,0,60,0,1,85,89,85,84,86
0,2,4,0,0,120,0,1,43,35,40,52,40
1,2,2,0,0,60,0,1,88,71,77,78,70
1,2,5,0,0,120,0,0,67,54,63,76,64
0,2,7,1,0,180,0,0,74,70,70,73,75
0,2,7,0,0,120,0,1,85,74,70,80,78
0,2,5,0,0,90,0,1,64,58,64,63,60
1,2,3,0,0,120,0,1,63,53,38,60,66
1,3,6,0,0,120,0,1,60,68,74,63,63
1,2,7,0,0,60,0,1,43,51,53,71,60
1,2,2,0,0,120,0,1,41,56,55,53,58
0,3,9,2,0,60,0,1,75,68,70,68,63
1,1,0,1,0,60,0,1,79,81,80,78,79
0,3,3,1,0,60,0,1,64,72,70,66,62
1,3,5,1,0,60,0,1,73,59,82,79,80
